FID,CAUTH25CD,CAUTH25NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E47000001,Greater Manchester,377929,401095,-2.334239,53.50609,1275966380.86494,250388.200438828,03adde24-0ccc-4669-8702-70ca6ae549d8
2,E47000002,South Yorkshire,441052,398663,-1.382848,53.48311,1551536333.98341,288022.16128046,7775da5d-0360-4b02-b141-713066ba3262
3,E47000003,West Yorkshire,418683,427238,-1.718223,53.74121,2029207950.44383,283438.241993065,be5ed3fa-13e5-4942-9dc8-6a0f61b78c5e
4,E47000004,Liverpool City Region,344345,390165,-2.838616,53.40537,731295634.533119,389408.226945504,725e2a06-1d42-472b-98de-2436e08c991a
5,E47000006,Tees Valley,436953,521739,-1.429689,54.58951,795308408.362473,333361.605523773,5f522471-b6da-49f4-bd73-4935e0d0a2f4
6,E47000007,West Midlands,402503,289718,-1.964548,52.50537,901712786.763718,256729.235120193,b6c8bb12-0726-47f1-884d-61c8ed8d193d
7,E47000008,Cambridgeshire and Peterborough,536856,271837,0.006855,52.32758,3395878479.68833,530316.160529901,ddbd572e-3124-41a4-80fd-86e683239979
8,E47000009,West of England,366422,173495,-2.484694,51.45943,957833784.655411,265893.587830104,a0b9a044-e37c-433c-8d89-63f8a60e64ad
9,E47000012,York and North Yorkshire,429508,466514,-1.550335,54.0937,8311977860.87433,816470.599641343,5ce03f04-2590-445b-a74d-2dae9347b824
10,E47000013,East Midlands,449616,357963,-1.26015,53.11657,4788143140.70356,584530.01102123,5c6f833b-c7b2-4de1-98f4-4e7e6ba754cd
11,E47000014,North East,402583,577575,-1.961075,55.09261,7803206536.89479,856635.160746584,8001da53-a050-4b8d-ae25-7c3aee960d79
12,E47000015,Devon and Torbay,283144,93087,-3.656969,50.72561,6629608624.20748,1153629.03648449,259ef1ef-66e8-494d-a431-5d9250e75ba2
13,E47000016,Hull and East Yorkshire,488056,443597,-0.661959,53.88112,2476267115.57484,509485.54036017,5f8d9cd2-6fef-4e0d-8717-182aa24717da
14,E47000017,Greater Lincolnshire,517984,362874,-0.237248,53.14997,6976468541.40051,1373129.79570982,eb1aa0e1-fc11-4076-bc7d-ef60920c932d
15,E47000018,Lancashire,363723,441045,-2.553107,53.86436,3067134267.96828,982450.097686305,e3e6b56a-52ca-4ac3-a0b3-fb75a3710d9f
