id,club,league,lat,lon,address,website
1,Broughton Park,NC1 North South,53.43654421,-2.25558615,"2 Houghend Cres, Manchester M21 7TL",https://broughtonparkfc.rfu.club/
2,Sheffield Tigers,NC1 North South,53.33497215,-1.552549229,"Hathersage Rd, Sheffield S17 3AB",http://sheffieldtigers.co.uk/
3,Lincoln Ladies,NC1 North South,53.26004024,-0.47502526,"Longdales Park, Lodge Ln, Lincoln LN2 2RS",https://lincolnrfc.rfu.club/
4,Trafford MV Ladies,NC1 North South,53.43301649,-2.329756016,"34 Finny Bank Rd, Sale M33 6LR",https://traffordmvrfcc.rfu.club/
5,Doncaster Demons,NC1 North South,53.53468063,-1.078606349,"Armthorpe Rd, Doncaster DN2 5QB","https://www.pitchero.com/clubs/Round Ash Park/Hand La, 63 Hand Ln, Leigh WN7 3NAdoncasterphoenix"
6,Leigh Ladies,NC1 North South,53.48054646,-2.521662225,"63 Hand Ln, Leigh WN7 3NA",http://www.pitchero.com/clubs/leigh
7,Eccles Ladies,NC1 North South,53.48176509,-2.371100607,"Gorton St, Eccles, Manchester M30 7LZ",http://eccles.rfu.club/
8,Southport Ladies,NC1 North South,53.61866684,-3.024613473,"Rugby Club, Waterloo Rd, Southport PR8 4QN",http://www.southportrfc.com/
9,Ryton Women,NC1 North North,54.96962553,-1.774871377,Main Road Barmoor Ryton Tyne And Wear NE40 3AG United Kingdom,http://rytonrfcltd.rfu.club/
10,Keswick Women,NC1 North North,54.60062483,-3.143652545,"Davidson Park, Crow Park Road, Keswick CA12 5EG",http://www.keswickrugby.com/
11,Peterlee and Horden Ladies,NC1 North North,54.76694477,-1.329332273,"Eden Ln, Peterlee SR8 5DJ",https://www.pitchero.com/clubs/hordenrugbyclub
12,Lancaster Lionesses Women,NC1 North North,54.01278467,-2.79206766,Lancaster University Sports Centre Lancaster Lancashire LA1 4YQ United Kingdom,NA
13,Harrogate Ladies,NC1 North North,53.96633074,-1.499829936,"Rudding Ln, Harrogate HG3 1DQ",http://www.harrogaterugby.com/
14,Carlisle Cougars Ladies,NC1 North North,54.89503601,-2.917843002,"Rugby Ground, Warwick Rd, Carlisle CA1 1LW",http://www.pitchero.com/clubs/carlislerugby/
15,Workington Ladies,NC1 North North,54.63466215,-3.561009317,"Ellis Sports Ground, Mossbay Rd, Workington CA14 3XZ",https://www.workingtonrfc.co.uk/
16,Wensleydale Women,NC2 North North,54.30747771,-1.844708551,Cawkill Park Wensley Road Leyburn NORTH YORKSHIRE DL8 5ED UNITED KINGDOM,https://wrufc.co.uk/
17,Stockton Rockets Ladies,NC2 North North,54.56664237,-1.344676502,"52A Oxbridge Ave, Stockton-on-Tees TS18 4JF",http://www.stocktonrugby.co.uk/
18,Novocastrians Ladies II,NC2 North North,55.00583112,-1.583241736,"The Drive, Longbenton, Newcastle upon Tyne NE7 7SZ",https://www.novos.co.uk/
19,Penrith Ladies,NC2 North North,54.65899507,-2.734705502,"Winters Pk, Penrith CA11 8RQ",http://www.pitchero.com/clubs/penrithrufc
20,North Allerton Ladies,NC2 North North,54.35374088,-1.433353758,"Brompton Lodge, Northallerton Rd, Brompton, Northallerton DL6 2PZ",NA
21,Blaydon Red Kites 2XV,NC2 North North,54.95343915,-1.690650002,Crow Trees Ground Hexham Road Newcastle Upon Tyne Tyne And Wear NE16 3BN United Kingdom,http://www.blaydonrfc.co.uk/
22,Darlington Ladies,NC2 North North,54.50969637,-1.564986445,"Grange Rd, Darlington DL1 5NR",https://www.pitchero.com/clubs/darlingtonrfc
23,Winnington Park Ladies,NC2 North South,53.25394793,-2.537721131,"Burrows Hill, Hartford, Northwich CW8 3AA",https://winningtonparkrfc.rfu.club/
24,Sale FC 1861 Women II,NC2 North South,53.4165255,-2.321740273,Corpacq Stadium Heywood Road Brooklands Sale Cheshire M33 3WB United Kingdom,http://www.salefc.com/
25,Macclesfield Women,NC2 North South,53.27221569,-2.160460645,"Priory Park, Priory Ln, Macclesfield SK10 4AF",http://www.macclesfieldrufc.co.uk/
26,Crewe & Nantwich Ladies,NC2 North South,53.05963638,-2.477674114,"Newcastle Rd, Cheshire, Nantwich CW5 7EP",https://www.cnrugby.uk/
27,Vagabond Ladies,NC2 North South,54.17041313,-4.505935702,IOM Vagabonds Clubhouse Ballafletcher Sports Grounds Ballafletcher Braddan ISLE OF MAN IM4 4RJ UNITED KINGDOM,NA
28,Didsbury Toc H Ladies,NC2 North South,53.41237437,-2.238772202,"Clubhouse, Ford Ln, Didsbury, Manchester M20 2RU",https://www.didsburyrfc.co.uk/
29,Aldwinian Women,NC2 North South,53.47761036,-2.13811646,"Audenshaw Park, Droylsden Rd, Audenshaw, Manchester M34 5SN",http://www.aldwinians.co.uk/
30,Bury Ladies,NC2 North South,53.58348366,-2.300755773,"Radcliffe Rd, Bury BL9 9JX",http://www.buryrufc.com/
31,Yarnbury Women,NC2 North Central,53.85000354,-1.65087726,"Brownberrie Ln, Horsforth, Leeds LS18 5HB",https://www.pitchero.com/clubs/yarnbury
32,Sandal Women,NC2 North Central,53.65018588,-1.493568089,"Standbridge Ln, Sandal Magna, Wakefield WF2 7DY",http://www.pitchero.com/clubs/sandalrufc/
33,Old Brodleians Ladies,NC2 North Central,53.7308476,-1.816719972,"Woodhead, Denholme Gate Rd, Halifax HX3 8HX",https://www.oldbrodleians.co.uk/
34,Skipton Ladies,NC2 North Central,53.95622586,-2.03017616,"Sandylands Sports Centre, Carleton New Rd, Skipton BD23 2AZ",http://www.pitchero.com/clubs/skiptonrugbyfootballclub/
35,Preston Grasshoppers Women,NC2 North Central,53.7963846,-2.73267696,"Lightfoot Green Ln, Preston PR4 0AP",http://www.pgrfc.co.uk/
36,Old Crossleyans Women,NC2 North Central,53.70496342,-1.871614931,"Broomfield Ave, Halifax HX3 0JE",https://oldcrossleyansrufc.rfu.club/
37,North Ribblesdale Ladies,NC2 North Central,54.0656497,-2.276711872,"Grove Park, Lower Greenfoot, Settle BD24 9RB",http://www.northribblesdale.co.uk/
38,Alnwick Women,NC3 North North,55.40218938,-1.699180918,"Greensfield, Willowburn Avenue, Alnwick NE66 1BE",http://www.pitchero.com/clubs/alnwick
39,Whitley Bay Rockcliff Roses Women,NC3 North North,55.03703967,-1.44991166,"Lovaine Avenue, Whitley Bay NE25 8RW",http://www.rockcliffrfc.co.uk/
40,Percy Park Panthers Ladies,NC3 North North,55.01693668,-1.443777302,"Percy Park, Percy Park RFC, Preston Ave, Tynemouth, North Shields NE30 2BE",https://www.percyparkrfc.co.uk/
41,Consett & District Women,NC3 North North,54.85903777,-1.829646743,"Amethyst Park, Medomsley Rd, Consett DH8 6LU",https://www.pitchero.com/clubs/consett/
42,Jarrovians Women,NC3 North North,54.95928687,-1.500097373,"Community Centre, St Lukes Ct, Hebburn NE31 2BB",https://www.facebook.com/JarroviansRUFC/
43,Berwick Upon Tweed Ladies,NC3 North North,55.73892363,-1.991725502,"11 Derwent Water Ter, Scremerston, Berwick-upon-Tweed TD15 2QY",http://www.berwickrugbyclub.co.uk/
44,Gateshead Women,NC3 North North,54.94150115,-1.594905402,"Hedley Lawson Park, Eastwood Gardens, Low Fell, Gateshead NE9 5UB",https://www.gatesheadrfc.com/
45,Ponteland Tigers Women,NC3 North North,55.04794152,-1.738297131,"Ponteland Leisure Centre, Callerton Ln, Ponteland, Newcastle upon Tyne NE20 9EG",http://www.pitchero.com/clubs/ponteland
46,Huddersfield Laund Hill Ladies,NC3 North South,53.65901835,-1.847893502,"Laund Hill Stadium, New Hey Rd, Salendine Nook, Huddersfield HD3 3XF",https://hlhrufc.co.uk/
47,West Park Leeds Women II,NC3 North South,53.87610035,-1.604716045,"The Sycamores, Bramhope, Leeds LS16 9JR",http://www.westparkleeds.com/
48,Rochdale Women,NC3 North South,53.61693801,-2.19418816,"Moorgate Ave, Rochdale OL11 5LU",http://www.rrufc.org/
49,Wharfdale Ladies,NC3 North South,54.07476375,-2.016497045,"Wharfeside Ave, Threshfield, Skipton BD23 5BS",http://www.wharfedalerufc.co.uk/
50,Clithero Women,NC3 North South,53.86425259,-2.391424389,"Littlemoor Rd, Clitheroe BB7 1EW",https://www.clitheroerugby.com/
51,Oldham Ladies,NC3 North South,53.51305227,-2.110616143,"Byrth Rd, Oldham OL8 2TJ",http://www.pitchero.com/clubs/OldhamRUFC
52,Redcar Women,NC3 North East,54.60315126,-1.041518638,"Green Ln, Redcar TS10 3RW",https://www.redcarrufc.co.uk/
